NAME,DESCONT,PRICE,RATING,RELEASE,ENDS,STARTED
Darkest Hour: A Hearts of Iron Game,-80%,"R$ 7,19",85.68%,Apr 2011,2024-05-23 14:00:00,2024-05-09 14:01:22
Sanctum,-80%,"R$ 6,59",85.83%,Apr 2011,2024-05-28 14:00:00,2024-05-14 08:20:02
Puzzle Agent 2,-50%,"R$ 9,99",82.02%,Jun 2011,2024-05-20 14:00:00,2024-05-13 14:21:22
Orcs Must Die!,-75%,"R$ 5,17",93.14%,Oct 2011,2024-05-27 14:00:00,2024-05-15 12:05:02
Space Pirates and Zombies,-50%,"R$ 9,99",87.37%,Aug 2011,2024-05-20 14:00:00,2024-05-13 14:21:22
L.A. Noire,-70%,"R$ 29,85",84.05%,Nov 2011,2024-05-27 14:00:00,2024-05-13 14:21:22
Serious Sam Double D XXL,-90%,"R$ 3,29",78.35%,Aug 2011,2024-05-23 14:00:00,2024-05-16 14:01:21
Monaco: What's Yours Is Mine,-75%,"R$ 6,99",87.95%,Apr 2013,2024-05-20 14:00:00,2024-05-13 14:21:22
Quantum Conundrum,-89%,"R$ 3,17",80.66%,Jun 2012,2024-05-21 14:00:00,2024-05-08 14:01:22
A Game of Dwarves,-75%,"R$ 8,99",61.53%,Oct 2012,2024-05-23 14:00:00,2024-05-09 14:01:22
Torchlight II,-80%,"R$ 6,99",91.16%,Sep 2012,2024-05-27 14:00:00,2024-05-13 14:21:22
Orcs Must Die! 2,-75%,"R$ 7,24",91.06%,Jul 2012,2024-05-27 14:00:00,2024-05-15 12:05:02
Tomb Raider,-80%,"R$ 12,49",95.01%,Mar 2013,2024-05-20 14:00:00,2024-05-10 14:01:21
Warlock - Master of the Arcane,-75%,"R$ 22,49",82.81%,May 2012,2024-05-23 14:00:00,2024-05-09 14:01:22
Max Payne 3,-70%,"R$ 29,85",84.83%,Jun 2012,2024-05-27 14:00:00,2024-05-13 14:21:22
Men of War: Condemned Heroes,-85%,"R$ 3,97",67.38%,Apr 2012,2024-05-22 14:00:00,2024-05-15 14:01:22
Sins of a Solar Empire®: Rebellion,-70%,"R$ 32,39",90.86%,Jun 2012,2024-05-20 14:00:00,2024-05-13 14:21:22
Warlock 2: The Exiled,-75%,"R$ 17,99",67.18%,Apr 2014,2024-05-23 14:00:00,2024-05-09 14:01:23
Legend of Grimrock,-80%,"R$ 9,39",90.68%,Apr 2012,2024-05-20 14:00:00,2024-05-13 14:21:20
Sacred Citadel,-75%,"R$ 4,99",66.58%,Apr 2013,2024-05-20 14:00:00,2024-05-13 14:21:20
ENDLESS™ Space - Definitive Edition,-75%,"R$ 4,99",78.60%,Jul 2012,2024-05-23 14:00:00,2024-05-16 14:01:22
Sanctum 2,-80%,"R$ 9,39",87.74%,May 2013,2024-05-28 14:00:00,2024-05-14 08:20:02
